osm_element_id,longitude,latitude
21313066,151.9757998,-27.5670964
21384207,153.2207502,-28.486454
33682727,114.6111008,-28.7758017
151457433,152.9802559,-27.5222308
259030709,115.6913356,-33.1021814
262161825,115.6884547,-33.1496542
266123811,145.3255985,-37.757152
266124033,145.3439674,-37.7507706
266280019,151.199446,-33.8947146
266744743,144.9092515,-37.7477525
271311069,145.3394693,-36.4903622
271311082,145.4069426,-36.3749598
271317062,145.4161684,-36.3678921
271321130,145.3049031,-36.383352
278890823,153.0212096,-27.4337208
280727461,138.6131132,-34.9443299
282201566,151.9414325,-27.5728895
286442915,145.4110149,-16.3595081
290077597,150.8394839,-34.476389
290097353,150.7654184,-34.5712788
290311973,144.6652243,-37.8751075
295247406,145.2341509,-37.8996673
297644035,144.9346986,-37.7573694
303071827,153.0416542,-27.4630889
304949427,144.9753768,-37.7932452
308138806,144.8529135,-37.7446049
316598622,143.3544561,-37.4248776
320813079,147.2174762,-41.2498512
320865520,153.0362254,-27.4686683
321689123,147.128049,-41.3842707
321881570,142.4321976,-38.1844217
322748241,145.3380598,-41.8888923
323079321,133.8670298,-23.729811
324236050,145.1002704,-37.0639078
324795467,145.2693235,-37.9796468
324797510,145.2663195,-37.9880287
324809920,145.2460152,-37.979947
325652344,152.0425577,-30.511281
327131337,153.0200761,-27.4799615
328104101,144.9782418,-37.7984386
329978963,153.023933,-27.4886251
330385935,153.0198899,-27.4845599
331256997,125.4594844,-17.1492894
331439425,147.3261673,-42.8945512
331557128,128.2169943,-17.0165388
331571189,128.2484668,-16.3083856
337305795,153.06321,-27.46155
338997316,145.2758808,-38.0441916
339290595,150.8968949,-33.7331692
340177991,144.9637357,-37.8006537
353645974,153.0476089,-27.5033425
356655097,117.1726489,-32.934986
357022129,146.6765612,-41.9804336
361396525,151.2226009,-33.2249187
363890267,147.3636864,-35.1130338
364039731,153.0195066,-27.4322591
364878119,145.9326807,-41.0678747
366803689,152.9206631,-27.668296
370967873,152.9744621,-27.4169405
374890160,145.0051733,-37.8978443
380062756,144.9608536,-37.8340209
392667941,151.1876047,-33.7056695
407779047,149.1307792,-35.2784371
408616709,145.1692655,-37.8970907
419774884,150.7084088,-34.0557894
420479393,151.6624403,-32.9577426
427443612,143.3197706,-36.9877092
427912727,143.7087964,-36.9838404
428222528,145.1880062,-37.9245698
428222603,145.1221579,-37.9143415
429759574,140.7375997,-27.7470159
430545356,153.0448513,-27.504871
431093153,152.3921931,-26.0537111
431409993,138.5798029,-31.6450617
434448134,147.1602665,-41.4421172
441011987,153.0127802,-27.3843646
441037828,151.9335689,-27.5544661
441037830,151.9349834,-27.5487137
441511836,151.2723556,-27.173688
443539307,144.9977901,-37.8254866
443618125,145.48442,-38.0676379
444322716,144.897594,-37.6901058
445184970,149.0761937,-35.3525183
448598877,150.9248971,-33.9214664
448610096,150.899942,-33.90154
448610148,150.9027613,-33.8954931
452918829,153.0186542,-27.426897
454160569,149.125712,-35.278846
454350478,153.0508471,-27.3061337
456713165,153.0302055,-27.5183713
458744985,153.0242275,-27.5307695
460372958,145.6153333,-41.7377789
460399800,153.089543,-27.4640215
471273636,153.5457462,-28.5222408
472236183,144.9665245,-37.8019136
472599474,145.0937329,-37.8634739
473491418,146.8615372,-19.1519735
473495766,114.6243222,-28.7689747
477116835,145.2034333,-38.1505813
485687995,144.9319747,-37.7810004
488744936,153.0356959,-27.4998648
