SA1_CODE_2021,Tot_Tot,Negative_Nil_income_Tot,HI_1500_1749_Tot,HI_2000_2499_Tot
10104101707,0,0,0,0
10104101708,178,0,14,17
10104101709,310,5,11,39
10104101710,222,5,15,27
10104101711,163,3,9,21
10104101713,164,0,13,17
10104101714,0,0,0,0
10104101715,0,0,0,0
10104101716,194,3,12,18
10104101717,161,0,7,9
10104101718,216,4,7,15
10104101719,162,3,11,16
10104101720,109,4,8,8
10104101721,136,5,18,10
10104101722,204,0,14,21
10104101723,165,0,7,13
10104101724,40,0,4,4
10104101801,121,6,6,16
10104101802,121,0,5,11
10104101803,131,3,6,9
10104101804,95,0,5,11
10104101805,97,0,4,10
10104101806,204,4,15,10
10104101807,193,9,8,18
10104101808,227,0,4,15
10104101809,108,0,4,15
10104101810,124,3,16,6
10104101811,218,5,14,16
10104101812,211,7,15,17
10104101813,105,4,3,8
10104101814,111,3,3,9
10104101815,171,0,7,21
10104101816,160,0,8,20
10104101817,287,0,16,24
10104101818,214,4,15,11
10104101819,200,3,11,21
10104101820,132,0,7,11
10104101821,83,0,12,3
10104101822,174,0,10,24
10104101823,219,5,8,16
10104101824,0,0,0,0
10104101901,191,9,6,19
10104101902,213,5,4,21
10104101903,139,0,12,7
10104101904,165,3,15,20
10104101905,155,3,12,9
10104101906,196,4,12,25
10104101907,135,7,6,18
10104101911,172,4,10,14
10104101912,169,4,7,11
10104101913,181,0,11,13
10104101915,78,0,9,10
10104101917,276,5,13,47
10104101918,111,0,7,13
10104101919,118,0,4,12
10104101920,124,0,8,14
10104101921,137,0,8,20
10104101924,176,5,8,20
10104101925,162,4,12,13
10104101926,151,0,12,7
10104101927,51,0,3,10
10104101928,258,0,12,23
10104101929,104,0,6,13
10104101930,0,0,0,0
10104101931,21,0,0,3
10104101932,40,0,4,3
10104101933,40,0,3,3
10104102001,156,5,4,22
10104102002,209,3,18,20
10104102003,171,0,7,22
10104102004,146,0,4,12
10104102005,115,4,3,3
10104102006,146,0,7,11
10104102007,135,0,10,15
10104102008,130,0,7,14
10104102009,0,0,0,0
10104102010,0,0,0,0
10104102011,134,4,11,17
10104102012,0,0,0,0
10104102013,66,0,4,3
10104102014,84,3,5,7
10104102015,78,0,0,8
10104102016,118,10,4,13
10104102017,98,7,5,13
10104102018,167,9,10,12
10104102019,156,5,11,10
10104102020,232,0,18,19
10104102021,0,0,0,0
10104102022,134,0,3,9
10104102023,122,0,7,10
10104102024,99,0,4,8
10104102025,158,0,4,11
10104102026,68,0,0,4
10104102027,97,0,7,9
10104102028,185,5,9,19
10104102029,137,0,12,12
10104102030,175,3,11,10
10104102031,72,0,8,11
10104102032,102,9,6,9
10104102102,89,0,0,11
10104102104,301,10,15,24
10104102105,234,0,7,26
10104102106,282,12,16,20
10104102107,246,0,13,21
10104102108,170,5,10,5
10104102110,178,0,9,16
10104102111,17,0,0,0
10104102201,10,0,0,0
10104102301,173,3,4,15
10104102302,163,6,8,17
10104102303,139,0,9,16
10104102304,78,3,11,5
10104102305,210,5,7,14
10104102306,105,0,5,6
10104102307,143,3,6,6
10104102308,223,4,9,16
10104102309,138,3,10,17
10104102310,0,0,0,0
10104102401,107,3,0,12
10104102402,111,0,6,12
10104102403,81,0,5,5
10104102404,153,0,10,29
10104102405,107,8,9,10
10104102406,91,0,3,14
10104102407,129,3,4,8
10104102408,114,4,3,12
10104102409,123,5,7,6
10104102410,65,0,3,7
10104102411,100,3,4,14
10104102412,145,0,4,27
10104102501,0,0,0,0
10104102502,149,0,5,19
10104102503,163,3,3,5
10104102504,188,5,5,18
10104102505,153,0,9,12
10104102506,140,3,10,11
10104102507,105,4,6,6
10104102508,291,8,16,24
10104102509,43,0,5,3
10104102510,168,0,11,13
10104102511,171,4,12,18
10104102512,232,6,20,17
10104102513,160,0,12,24
10104102514,105,0,8,3
10104102516,113,0,4,10
10104102517,129,3,10,20
10104102518,235,0,16,28
10104102519,86,0,0,15
10104102520,269,4,23,24
10104102521,148,3,16,17
10104102522,155,3,9,25
10104102523,80,4,4,12
10104102524,116,0,9,8
10104102525,232,0,3,13
10104102526,263,5,11,25
10104102527,212,3,14,23
10104102528,283,10,18,30
10104102529,173,4,17,9
10104102530,149,0,13,15
10104102531,0,0,0,0
10104102532,147,6,6,15
